asset;date;open;high;low;close;business;volume
WDOFUT;05/10/2021;5556,26;5617,94;5552,69;5608,25;1,638409321E11;2989551
WDOFUT;04/10/2021;5513,95;5588,88;5500,69;5587,86;1,520123342E11;2791725
WDOFUT;01/10/2021;5548,61;5562,37;5480,81;5492,03;1,703267175E11;3148418
WDOFUT;30/09/2021;5537,40;5607,23;5497,64;5574,10;2,224889649E11;4076780
WDOFUT;29/09/2021;5539,93;5577,82;5519,45;5542,49;1,798895334E11;3315710
WDOFUT;28/09/2021;5538,40;5584,99;5520,48;5561,44;1,939446794E11;3576648
WDOFUT;27/09/2021;5453,92;5528,67;5439,07;5525,09;1,8155501E11;3390161
WDOFUT;24/09/2021;5447,77;5488,73;5447,77;5471,32;1,31372319E11;2457778
WDOFUT;23/09/2021;5394,52;5446,24;5389,40;5439,07;1,477327723E11;2788657
WDOFUT;22/09/2021;5388,38;5454,94;5383,77;5425,76;1,644538021E11;3109224
WDOFUT;21/09/2021;5448,28;5474,40;5398,11;5404,25;1,700514967E11;3202373
WDOFUT;20/09/2021;5459,04;5516,89;5443,68;5464,16;1,809620393E11;3385159
WDOFUT;17/09/2021;5392,99;5486,68;5387,87;5424,73;1,938142687E11;3647560
WDOFUT;16/09/2021;5376,09;5419,10;5369,43;5391,45;1,470602668E11;2789691
WDOFUT;15/09/2021;5381,21;5411,42;5352,54;5367,39;1,733248424E11;3291415
WDOFUT;14/09/2021;5376,09;5404,76;5337,69;5389,40;1,652686075E11;3150910
WDOFUT;13/09/2021;5379,16;5383,26;5341,27;5359,19;1,598337865E11;3051998
WDOFUT;10/09/2021;5303,39;5413,98;5298,27;5394,52;1,763458239E11;3365200
WDOFUT;09/09/2021;5449,82;5480,03;5335,64;5352,03;2,416410194E11;4558324
WDOFUT;08/09/2021;5336,67;5480,03;5335,64;5463,13;2,152382776E11;4073282
WDOFUT;06/09/2021;5332,57;5356,12;5297,24;5313,63;8,869019484E10;1705676
WDOFUT;03/09/2021;5317,21;5345,37;5273,69;5342,30;1,676312976E11;3228992
WDOFUT;02/09/2021;5318,75;5345,37;5285,47;5326,94;1,876880622E11;3613807
WDOFUT;01/09/2021;5301,34;5344,35;5286,49;5332,57;1,678667048E11;3238019
WDOFUT;31/08/2021;5332,06;5345,37;5261,40;5296,22;1,71744026E11;3317015
WDOFUT;30/08/2021;5349,02;5377,31;5329,48;5333,59;1,440539584E11;2770032
WDOFUT;27/08/2021;5409,20;5414,34;5337,71;5355,20;1,677587544E11;3212529
WDOFUT;26/08/2021;5377,83;5421,54;5369,08;5417,94;1,524295959E11;2904541
WDOFUT;25/08/2021;5422,57;5426,17;5359,82;5367,54;1,831120237E11;3489560
WDOFUT;24/08/2021;5522,35;5524,92;5401,49;5407,14;1,908230904E11;3600540
WDOFUT;23/08/2021;5525,95;5563,50;5504,87;5541,38;1,769635081E11;3288446
WDOFUT;20/08/2021;5606,19;5640,13;5526,98;5537,78;1,823449685E11;3356935
WDOFUT;19/08/2021;5582,02;5621,10;5541,90;5576,87;2,363387024E11;4356393
WDOFUT;18/08/2021;5446,75;5562,47;5422,57;5554,24;2,234277125E11;4191536
WDOFUT;17/08/2021;5443,15;5466,29;5396,34;5459,09;2,199641647E11;4166055
WDOFUT;16/08/2021;5437,49;5461,15;5390,17;5422,06;1,77774838E11;3373880
WDOFUT;13/08/2021;5405,60;5445,72;5382,46;5412,80;1,784598702E11;3393382
WDOFUT;12/08/2021;5382,97;5426,17;5372,17;5417,94;1,735858595E11;3306718
WDOFUT;11/08/2021;5359,82;5399,43;5326,39;5392,74;1,983312389E11;3800161
WDOFUT;10/08/2021;5402,51;5429,77;5349,54;5354,17;2,160713952E11;4123678
WDOFUT;09/08/2021;5395,31;5467,32;5380,40;5400,46;2,063000811E11;3912031
WDOFUT;06/08/2021;5399,43;5444,17;5371,65;5398,91;1,942034317E11;3694918
WDOFUT;05/08/2021;5289,88;5427,72;5275,47;5420,00;2,216615931E11;4276243
WDOFUT;04/08/2021;5353,14;5415,89;5332,57;5337,19;2,005551202E11;3841114
WDOFUT;03/08/2021;5335,65;5445,72;5331,54;5368,57;2,086887565E11;3974805
WDOFUT;02/08/2021;5359,31;5389,14;5281,13;5339,25;1,788312661E11;3461633
WDOFUT;30/07/2021;5244,62;5399,94;5244,62;5384,00;1,690234315E11;3271713
WDOFUT;29/07/2021;5254,93;5259,58;5207,42;5247,19;1,607223831E11;3169720
WDOFUT;28/07/2021;5343,76;5365,46;5274,56;5289,02;1,940330873E11;3764757
WDOFUT;27/07/2021;5367,00;5379,92;5321,56;5342,21;1,681028631E11;3247191
WDOFUT;26/07/2021;5365,97;5405,74;5324,14;5350,48;1,617282915E11;3116322
WDOFUT;23/07/2021;5373,72;5409,35;5332,40;5376,30;1,594420851E11;3072609
WDOFUT;22/07/2021;5358,74;5402,12;5343,25;5379,92;1,847188147E11;3549098
WDOFUT;21/07/2021;5410,90;5457,38;5357,19;5363,91;2,000604344E11;3816591
WDOFUT;20/07/2021;5420,20;5475,98;5379,92;5400,57;1,95722962E11;3727512
WDOFUT;19/07/2021;5334,98;5438,28;5328,79;5431,04;1,960487307E11;3760131
WDOFUT;16/07/2021;5282,31;5304,00;5249,25;5291,60;1,789231629E11;3502156
WDOFUT;15/07/2021;5261,13;5316,91;5228,59;5291,60;1,853068542E11;3626424
WDOFUT;14/07/2021;5332,92;5337,57;5243,57;5249,25;1,844103736E11;3613359
WDOFUT;13/07/2021;5360,29;5405,74;5328,27;5344,28;1,96264737E11;3782063
WDOFUT;12/07/2021;5439,82;5470,81;5345,31;5353,58;1,833461492E11;3504798
WDOFUT;08/07/2021;5464,10;5502,32;5404,19;5445,51;2,136964249E11;4047772
WDOFUT;07/07/2021;5364,94;5469,26;5354,09;5419,17;2,325025093E11;4433952
WDOFUT;06/07/2021;5259,58;5403,67;5257,52;5384,05;1,994683175E11;3853877
WDOFUT;05/07/2021;5236,86;5282,82;5229,11;5274,56;1,072715985E11;2108215
WDOFUT;02/07/2021;5217,23;5255,97;5166,10;5241,51;1,680544306E11;3329917
WDOFUT;01/07/2021;5142,86;5236,86;5125,30;5228,08;1,797089941E11;3578796
WDOFUT;30/06/2021;5140,80;5205,87;5130,98;5151,13;1,588314801E11;3170453
WDOFUT;29/06/2021;5119,58;5149,10;5097,83;5133,57;1,383411926E11;2797965
WDOFUT;28/06/2021;5127,87;5151,17;5094,73;5105,08;1,49493618E11;3022551
WDOFUT;25/06/2021;5092,14;5154,80;5070,39;5112,85;1,706212764E11;3460364
WDOFUT;24/06/2021;5146,00;5148,07;5075,57;5094,21;1,725898114E11;3502303
WDOFUT;23/06/2021;5143,92;5161,53;5116,99;5147,55;1,92518403E11;3878960
WDOFUT;22/06/2021;5198,30;5230,41;5138,23;5138,23;1,945151799E11;3879123
WDOFUT;21/06/2021;5259,92;5269,25;5197,26;5198,30;1,350302188E11;2676346
WDOFUT;18/06/2021;5192,60;5298,25;5166,19;5277,53;2,14055928E11;4244395
WDOFUT;17/06/2021;5256,30;5265,10;5192,60;5192,60;1,775826396E11;3520795
WDOFUT;16/06/2021;5241,80;5271,32;5179,66;5243,87;2,177034108E11;4316984
WDOFUT;15/06/2021;5254,23;5296,18;5227,82;5231,44;1,693758203E11;3332783
WDOFUT;14/06/2021;5297,73;5303,94;5245,42;5251,12;1,352337862E11;2658309
WDOFUT;11/06/2021;5240,76;5332,94;5240,25;5312,23;1,45684688E11;2845555
WDOFUT;10/06/2021;5253,71;5284,26;5222,64;5247,50;1,704664029E11;3362174
WDOFUT;09/06/2021;5215,91;5278,57;5209,69;5255,78;1,624686474E11;3207857
WDOFUT;08/06/2021;5235,59;5261,48;5212,80;5227,82;1,597776053E11;3161290
